iter	Precision	Logloss
0	0.8062336021	0.6903516098
1	0.8231173773	0.6878869182
2	0.8432785862	0.6849002031
3	0.829086503	0.6823442186
4	0.8283670447	0.6797076397
5	0.8303098751	0.6774553741
6	0.8305080875	0.674897103
7	0.8297124465	0.6722228049
8	0.8380185929	0.6697184111
9	0.8461818768	0.6670103191
10	0.8440091817	0.6645703891
11	0.8394684715	0.6619737236
12	0.8394499116	0.6591815065
13	0.8381148076	0.6569445348
14	0.8478241659	0.6547483649
15	0.8440091817	0.6523295856
16	0.8457361623	0.6497593483
17	0.8446555093	0.6472306334
18	0.8466401055	0.6447907212
19	0.8443791688	0.6420721847
20	0.8468226334	0.639632381
21	0.8479149697	0.6370493388
22	0.8432103978	0.63439364
23	0.8434882343	0.6321385038
24	0.844132706	0.6298495496
25	0.8461015167	0.6277300849
26	0.8486375173	0.6252213675
27	0.8482771037	0.6229905844
28	0.8456445525	0.6206350296
29	0.8508333592	0.6185516392
30	0.8502072957	0.6164592886
31	0.8454610061	0.614131335
32	0.8451848665	0.6118002243
33	0.8421397062	0.6097735909
34	0.8425114717	0.6075469097
35	0.844132706	0.6051492837
36	0.8436729123	0.602882181
37	0.8450224404	0.6008636645
38	0.8451139024	0.5989733721
39	0.8462835457	0.596786357
40	0.8451139024	0.5949181054
41	0.8500895482	0.592734443
42	0.8502674463	0.5905597995
43	0.8475484209	0.5887210044
44	0.8473676196	0.5864192865
45	0.8486375173	0.5841196643
46	0.8482771037	0.5822156829
47	0.8473676196	0.5800469726
48	0.8489067057	0.5781509788
49	0.8459190561	0.5761396189
50	0.8486375173	0.573961876
51	0.8513658346	0.572385876
52	0.8520287896	0.5706368182
53	0.8546095572	0.5684825012
54	0.8544348362	0.5665114221
55	0.8556455167	0.5645030266
56	0.8533172221	0.562671515
57	0.8556455167	0.5609431953
58	0.8582537858	0.5592264428
59	0.8571199968	0.5571219457
60	0.8603243018	0.5550932427
61	0.8594422998	0.5532952592
62	0.8577198969	0.5518170604
63	0.8572919125	0.5503428543
64	0.8561651717	0.5483500577
65	0.8550445303	0.5464763126
66	0.8550445303	0.545111566
67	0.8563375596	0.5431844789
68	0.8564235987	0.5411518043
69	0.8565095348	0.5391424535
70	0.8578903728	0.5375179824
71	0.8579754577	0.53557121
72	0.8553906393	0.5338464077
73	0.8540170522	0.5320447302
74	0.8554769084	0.5302815391
75	0.8554769084	0.5285342668
76	0.8553906393	0.5268108965
