iter	Passed	Remaining
0	11	9876
1	21	9550
2	29	8667
3	35	7848
4	40	7139
5	46	6896
6	53	6707
7	58	6423
8	63	6265
9	70	6251
10	77	6169
11	81	5936
12	87	5939
13	92	5773
14	96	5620
15	102	5600
16	107	5527
17	111	5416
18	116	5365
19	122	5337
20	126	5256
21	131	5195
22	137	5189
23	141	5120
24	146	5066
25	153	5097
26	157	5031
27	163	5032
28	169	5050
29	174	5001
30	178	4938
31	185	4980
32	190	4959
33	195	4922
34	201	4932
35	207	4932
36	211	4885
37	217	4873
38	223	4885
39	228	4856
40	233	4849
41	237	4802
42	241	4763
43	248	4788
44	253	4757
45	257	4722
46	261	4698
47	266	4682
48	270	4650
49	274	4614
50	279	4599
51	283	4569
52	286	4536
53	290	4501
54	295	4489
55	299	4468
56	303	4440
57	307	4418
58	313	4420
59	317	4395
60	320	4364
61	324	4342
62	328	4323
63	332	4302
64	336	4276
65	340	4251
66	345	4249
67	349	4229
68	352	4200
69	356	4184
70	360	4167
71	364	4147
72	368	4129
73	372	4108
74	376	4097
75	380	4077
76	383	4058
77	387	4041
78	391	4028
79	395	4010
80	399	3992
81	404	3991
82	412	4014
83	417	4012
84	424	4021
85	428	4014
86	432	3999
87	438	4001
88	443	4000
89	449	3999
90	452	3982
91	457	3970
92	461	3956
93	464	3940
94	468	3927
95	473	3921
96	477	3910
97	481	3895
98	484	3878
99	489	3868
100	492	3854
101	496	3837
102	499	3823
103	503	3810
104	507	3800
105	511	3789
106	515	3776
107	518	3760
108	522	3747
109	526	3735
110	529	3722
111	533	3707
112	536	3694
113	539	3678
114	542	3663
115	546	3650
116	549	3636
117	553	3624
118	556	3610
119	559	3597
120	563	3583
121	566	3569
122	570	3560
123	573	3548
124	577	3536
125	580	3522
126	583	3508
127	586	3497
128	590	3485
129	593	3473
130	596	3462
131	599	3449
132	603	3440
133	607	3431
134	611	3422
135	614	3413
136	618	3403
137	621	3393
138	625	3382
139	628	3370
140	631	3360
141	635	3351
142	638	3341
143	642	3330
144	645	3319
145	648	3309
146	652	3301
147	655	3291
148	658	3280
149	661	3269
150	665	3260
151	668	3251
152	672	3242
153	675	3232
154	678	3223
155	682	3215
156	685	3207
157	689	3197
158	692	3188
159	696	3179
160	699	3172
161	703	3165
162	707	3158
163	710	3148
164	713	3139
165	717	3133
166	721	3126
167	724	3118
168	728	3110
169	732	3105
170	735	3098
171	739	3090
172	742	3080
173	745	3073
174	750	3068
175	753	3060
176	756	3051
177	759	3044
178	763	3035
179	766	3028
180	769	3020
181	773	3013
182	776	3004
183	780	2998
184	783	2991
185	787	2984
186	790	2977
187	794	2969
188	798	2964
189	802	2959
190	806	2954
191	809	2947
192	813	2942
193	816	2934
194	820	2926
195	823	2920
196	826	2912
197	830	2906
198	834	2900
199	837	2894
200	841	2888
201	844	2882
202	848	2876
203	851	2868
204	855	2862
205	858	2854
206	862	2849
207	865	2842
208	869	2835
209	872	2828
210	875	2821
211	879	2816
212	882	2809
213	886	2803
214	890	2798
215	893	2791
216	897	2786
217	900	2780
218	903	2773
219	907	2766
220	910	2761
221	914	2757
222	918	2750
223	921	2744
224	925	2738
225	928	2733
226	932	2726
227	935	2719
228	939	2714
229	942	2708
230	946	2703
231	949	2696
232	952	2691
233	956	2684
234	959	2679
235	963	2673
236	966	2666
237	969	2660
238	972	2653
239	976	2649
240	979	2642
241	982	2636
242	986	2629
243	989	2623
244	992	2618
245	996	2611
246	999	2605
247	1002	2598
248	1005	2593
249	1009	2588
250	1013	2583
251	1016	2578
252	1020	2573
253	1023	2568
254	1027	2563
255	1031	2558
256	1034	2551
257	1037	2545
258	1041	2540
259	1044	2535
260	1047	2529
261	1051	2523
262	1054	2517
263	1058	2513
264	1061	2507
265	1065	2502
266	1068	2497
267	1071	2491
268	1075	2485
269	1078	2480
270	1081	2474
271	1084	2468
272	1088	2464
273	1091	2458
274	1095	2453
275	1098	2447
276	1101	2441
277	1104	2436
278	1108	2431
279	1111	2426
280	1115	2421
281	1119	2417
282	1123	2413
283	1126	2408
284	1129	2402
285	1133	2397
286	1136	2392
287	1140	2387
288	1143	2381
289	1146	2375
290	1149	2370
291	1153	2366
292	1156	2360
293	1159	2355
294	1163	2349
295	1166	2344
296	1169	2339
297	1173	2334
298	1176	2329
299	1180	2325
300	1187	2327
301	1196	2332
302	1212	2352
303	1226	2368
304	1233	2368
305	1242	2375
306	1249	2377
307	1254	2373
308	1258	2370
309	1262	2365
310	1265	2360
311	1269	2356
312	1272	2350
313	1276	2345
314	1279	2340
315	1283	2335
316	1288	2332
317	1292	2328
318	1295	2323
319	1299	2318
320	1303	2314
321	1307	2310
322	1311	2305
323	1314	2300
324	1318	2295
325	1321	2290
326	1325	2285
327	1328	2280
328	1332	2275
329	1335	2271
330	1339	2266
331	1343	2261
332	1347	2258
333	1351	2254
334	1355	2249
335	1358	2243
336	1361	2238
337	1364	2233
338	1368	2228
339	1372	2223
340	1375	2218
341	1379	2213
342	1382	2208
343	1385	2203
344	1389	2198
345	1392	2193
346	1396	2188
347	1399	2183
348	1403	2179
349	1407	2175
350	1410	2170
351	1414	2165
352	1417	2160
353	1421	2156
354	1424	2150
355	1427	2145
356	1430	2140
357	1434	2135
358	1437	2130
359	1441	2126
360	1445	2121
361	1448	2117
362	1452	2112
363	1456	2108
364	1459	2103
365	1462	2098
366	1466	2093
367	1469	2089
368	1473	2085
369	1477	2079
370	1481	2076
371	1484	2071
372	1488	2066
373	1491	2061
374	1495	2057
375	1499	2053
376	1503	2049
377	1506	2045
378	1510	2040
379	1515	2037
380	1519	2033
381	1522	2028
382	1525	2023
383	1529	2019
384	1532	2014
385	1536	2010
386	1539	2005
387	1542	2000
388	1546	1995
389	1549	1990
390	1553	1986
391	1556	1981
392	1559	1976
393	1563	1972
394	1567	1967
395	1570	1963
396	1574	1959
397	1578	1955
398	1582	1951
399	1585	1946
400	1589	1942
401	1593	1937
402	1597	1933
403	1601	1930
404	1604	1925
405	1608	1921
406	1612	1917
407	1616	1913
408	1619	1908
409	1623	1904
410	1627	1900
411	1630	1896
412	1634	1891
413	1637	1886
414	1641	1882
415	1644	1878
416	1648	1873
417	1651	1868
418	1654	1864
419	1657	1859
420	1661	1855
421	1665	1850
422	1668	1846
423	1672	1842
424	1676	1838
425	1680	1833
426	1683	1829
427	1687	1825
428	1692	1822
429	1698	1820
430	1702	1817
431	1706	1812
432	1710	1809
433	1714	1804
434	1717	1800
435	1721	1796
436	1724	1791
437	1728	1787
438	1731	1783
439	1735	1778
440	1739	1774
441	1744	1771
442	1748	1768
443	1753	1765
444	1760	1764
445	1764	1760
446	1768	1756
447	1771	1752
448	1775	1748
449	1779	1744
450	1783	1740
451	1787	1735
452	1791	1732
453	1795	1728
454	1799	1724
455	1803	1720
456	1807	1716
457	1811	1712
458	1815	1708
459	1819	1704
460	1822	1700
461	1826	1696
462	1829	1691
463	1833	1687
464	1837	1683
465	1841	1679
466	1845	1675
467	1848	1671
468	1852	1667
469	1856	1663
470	1860	1658
471	1863	1654
472	1867	1650
473	1870	1645
474	1874	1641
475	1878	1637
476	1882	1633
477	1886	1629
478	1890	1626
479	1894	1621
480	1897	1617
481	1901	1613
482	1905	1609
483	1909	1605
484	1912	1601
485	1915	1596
486	1919	1592
487	1922	1587
488	1926	1583
489	1929	1579
490	1932	1574
491	1936	1570
492	1940	1566
493	1945	1563
494	1948	1558
495	1952	1554
496	1956	1551
497	1960	1547
498	1964	1542
499	1967	1538
500	1971	1534
501	1975	1530
502	1979	1527
503	1983	1523
504	1987	1519
505	1991	1515
506	1994	1510
507	1998	1506
508	2002	1502
509	2006	1499
510	2010	1494
511	2013	1490
512	2016	1485
513	2019	1481
514	2023	1477
515	2026	1472
516	2030	1468
517	2033	1464
518	2037	1460
519	2040	1455
520	2043	1451
521	2046	1446
